DK's(keep),TSid,createdBy,dataSetName,siteName,countryOcean,lat,lon,elevation,pub1_doi,pub2_doi,originalDataUrl,archiveType,proxy,proxyDetail,calibration_method,calibration_seasonality,paleoDataNotes,variableName,units,datum,climateVariable,climateVariableDetail,seasonality,seasonGeneral,meanHoloceneValue,direction,minYear,maxYear,medianHoloceneResolution,agesPerKyr,inCompilation,useInGlobalHolocene,QC Certification,QC comments,link to lipdverse,Remaining issues,last updated
85,M2Lgorjfg1lP,unknown,BogD.McAndrews.1966,Bog D,,-95.16,47.18,460,,10.1038/nature25464,,LakeSediment,pollen,assemblage,MAT,,,temperature,degC,abs,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,4.601934783,positive,-10,10888,256,0.3670398238,Temp12k,TRUE,JM,,http://lipdverse.org/globalHolocene/0_27_0/BogD.McAndrews.1966.html,,before July 15
86,M2Lkkydhk6bP,unknown,BogD.McAndrews.1966,Bog D,,-95.16,47.18,460,,10.1038/nature25464,,LakeSediment,pollen,assemblage,MAT,,,temperature,degC,abs,T,air@surface,coldest month,winter+,-14.04378261,positive,-10,10888,256,0.3670398238,Temp12k,FALSE,JM,,http://lipdverse.org/globalHolocene/0_27_0/BogD.McAndrews.1966.html,,before July 15
87,M2Lmwrynca4P,unknown,BogD.McAndrews.1966,Bog D,,-95.16,47.18,460,,10.1038/nature25464,,LakeSediment,pollen,assemblage,MAT,,,temperature,degC,abs,T,air@surface,warmest month,summer+,20.39628261,positive,-10,10888,256,0.3670398238,Temp12k,FALSE,JM,,http://lipdverse.org/globalHolocene/0_27_0/BogD.McAndrews.1966.html,,before July 15
82,M2L1wm16bu0P,unknown,BlueMoundsCreek.Davis.1977,Blue Mounds Creek,,-89.87,43.08,335,,10.1038/nature25464,,LakeSediment,pollen,assemblage,MAT,,,temperature,degC,abs,T,air@surface,warmest month,summer+,21.7756129,positive,0,12104,281.5,0.3333333333,Temp12k,FALSE,JM,,http://lipdverse.org/globalHolocene/0_27_0/BlueMoundsCreek.Davis.1977.html,,before July 15
83,M2L6j794b64P,unknown,BlueMoundsCreek.Davis.1977,Blue Mounds Creek,,-89.87,43.08,335,,10.1038/nature25464,,LakeSediment,pollen,assemblage,MAT,,,temperature,degC,abs,T,air@surface,coldest month,winter+,-10.98990323,positive,0,12104,281.5,0.3333333333,Temp12k,FALSE,JM,,http://lipdverse.org/globalHolocene/0_27_0/BlueMoundsCreek.Davis.1977.html,,before July 15
84,M2Liv8xnftiP,unknown,BlueMoundsCreek.Davis.1977,Blue Mounds Creek,,-89.87,43.08,335,,10.1038/nature25464,,LakeSediment,pollen,assemblage,MAT,,,temperature,degC,abs,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,6.619096774,positive,0,12104,281.5,0.3333333333,Temp12k,TRUE,JM,,http://lipdverse.org/globalHolocene/0_27_0/BlueMoundsCreek.Davis.1977.html,,before July 15
1121,WEB7f2f016d,lipd.net,WAISBubble.Fegyveresi.2016,WAIS Divide,,-79.4676,-112.08,1806,10.1002/2015PA002851,,,GlacierIce,bubble density,glacier ice,,,Modeled Equivalent Temperatures (C),temperature,degC,abs,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,-29.73983636,positive,265,5324.5,91,0,Temp12k,TRUE,RSV,,http://lipdverse.org/globalHolocene/0_27_0/WAISBubble.Fegyveresi.2016.html,,before July 15
1122,WEBf4040255,lipd.net,WAISDivide.Cuffey.2016,WAIS Divide,,-79.4676,-112.08,1806,10.1073/pnas.1609132113,,,GlacierIce,hybrid,glacier ice,,,,temperature,degC,abs,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,-29.94630964,positive,-56,67770.5,1.73,0,Temp12k,TRUE,RSV,,http://lipdverse.org/globalHolocene/0_27_0/WAISDivide.Cuffey.2016.html,,before July 15
1113,GHe913d7ac,matlab,Vostok_Antarctica,"Vostok,Antarctica",,-78.5,108,,10.1038/20859,,,GlacierIce,dD,glacier ice,,,,temperature,degC,,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,-0.3749450549,positive,0,11642,46,0,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/Vostok_Antarctica.html,,before July 15
1066,GHf2f9415c,matlab,TaylorDome_dD,TaylorDome,,-77.8,158.7,,10.1111/j.0435-3676.2000.00122.x,,,GlacierIce,dD,glacier ice,,,,dD,permil,,T,air@surface,,,24698.50925,negative,-7.5,11832,25.5,0,Temp12k-reconsider,FALSE,DSK,"""9999"" in dD values",http://lipdverse.org/globalHolocene/0_27_0/TaylorDome_dD.html,,before July 15
237,GHb1defdc8,matlab,DomeF.Kawamura.2007,DomeF,,-77.3,39.7,,10.1038/nature06015,,,GlacierIce,d18O,glacier ice,,,,temperature,degC,,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,0.06086956522,positive,700,12200,500,0,Temp12k-reconsider,TRUE,DSK,fails resolution,http://lipdverse.org/globalHolocene/0_27_0/DomeF.Kawamura.2007.html,,before July 15
236,GH1c49f7ab,matlab,DomeC.Stenni.2001,EPICADomeC,,-75.1,123.4,3240,10.1126/science.1059702,,,GlacierIce,dD,glacier ice,,,,dD,permil,,T,air@surface,,,-396.1852853,positive,42.5,44821.74,18.63,0,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/DomeC.Stenni.2001.html,,before July 15
255,GH70e31571,matlab,EDML.Stenni.2009,EDML,,-75,0.1,,10.1016/j.quascirev.2009.10.009,,,GlacierIce,dD,glacier ice,,,,temperature,degC,,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,-0.6017058824,positive,100,12900,100,0,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/EDML.Stenni.2009.html,,before July 15
582,M2L5adu400zP,unknown,LakeEC2.Gajewski.1991,Lake EC2,,-74.95,56.02,300,,10.1038/nature25464,,LakeSediment,pollen,assemblage,MAT,,,temperature,degC,abs,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,-5.427710526,positive,59,6359,134,0.6349206349,Temp12k,TRUE,JM,,http://lipdverse.org/globalHolocene/0_27_0/LakeEC2.Gajewski.1991.html,,before July 15
583,M2Lpiyhg2dyP,unknown,LakeEC2.Gajewski.1991,Lake EC2,,-74.95,56.02,300,,10.1038/nature25464,,LakeSediment,pollen,assemblage,MAT,,,temperature,degC,abs,T,air@surface,warmest month,summer+,11.3095,positive,59,6359,134,0.6349206349,Temp12k,FALSE,JM,,http://lipdverse.org/globalHolocene/0_27_0/LakeEC2.Gajewski.1991.html,,before July 15
584,M2Lsekb4bsqP,unknown,LakeEC2.Gajewski.1991,Lake EC2,,-74.95,56.02,300,,10.1038/nature25464,,LakeSediment,pollen,assemblage,MAT,,,temperature,degC,abs,T,air@surface,coldest month,winter+,-23.99097368,positive,59,6359,134,0.6349206349,Temp12k,FALSE,JM,,http://lipdverse.org/globalHolocene/0_27_0/LakeEC2.Gajewski.1991.html,,before July 15
513,WEB3b80ddb0,lipd.net,Komosomolskaia.Ciais.1992,Komsomolskaia,,-74.083,97.4833,3499,10.1007/BF00193529,10.3189/172756494794587609,,GlacierIce,dD,glacier ice,,,,temperature,degC,,T,,,,-0.04001783265,,0,14934.1,17.085,0,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/Komosomolskaia.Ciais.1992.html,,before July 15
161,M2L511e6mjbP,unknown,Coghill.King.1986,Coghill,,-66.77,53.9,530,,10.1038/nature25464,,LakeSediment,pollen,assemblage,MAT,,,temperature,degC,abs,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,-4.119666667,positive,-31,6146,282.5,0.4856726566,Temp12k,TRUE,JM,,http://lipdverse.org/globalHolocene/0_27_0/Coghill.King.1986.html,,before July 15
162,M2Ls8oc7swkP,unknown,Coghill.King.1986,Coghill,,-66.77,53.9,530,,10.1038/nature25464,,LakeSediment,pollen,assemblage,MAT,,,temperature,degC,abs,T,air@surface,coldest month,winter+,-20.69933333,positive,-31,6146,282.5,0.4856726566,Temp12k,FALSE,JM,,http://lipdverse.org/globalHolocene/0_27_0/Coghill.King.1986.html,,before July 15
163,M2Lz8zzjys7P,unknown,Coghill.King.1986,Coghill,,-66.77,53.9,530,,10.1038/nature25464,,LakeSediment,pollen,assemblage,MAT,,,temperature,degC,abs,T,air@surface,warmest month,summer+,11.84771429,positive,-31,6146,282.5,0.4856726566,Temp12k,FALSE,JM,,http://lipdverse.org/globalHolocene/0_27_0/Coghill.King.1986.html,,before July 15
623,LPD7abab671,matlab,LawDome.Dahl-Jensen.1999,Law Dome DSS,,-66.7697,112.8069,,10.3189/172756499781821102,,,Borehole,borehole,glacier ice,,,,temperature,degC,abs,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,-21.37588235,positive,-45,7452,94,0,Temp12k,TRUE,AO,,http://lipdverse.org/globalHolocene/0_27_0/LawDome.Dahl-Jensen.1999.html,,before July 15
732,GH0a861633,matlab,MD032601.Crosta.2007,DUrvilleTrough,,-66,138.6,,10.1029/2007GC001718,,,MarineSediment,diatom,assemblage,,,"Fragilari opsisker guelensis, relative abundance of diatom assemblages",F_kerg__,percent,,T,sea@surface,Summer,summerOnly,13.08579545,positive,1000,10843,20,0,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/MD032601.Crosta.2007.html,,before July 15
465,WEB3c95e135,lipd.net,JamesRossIsland.Mulvaney.2012,James Ross Island,,-64.2017,-57.685,1542,10.1038/nature11391,,https://www.ncdc.noaa.gov/paleo/study/13954,GlacierIce,dD,glacier ice,,,,temperature,degC,,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,0.2635371901,positive,-50,14250,100,0,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/JamesRossIsland.Mulvaney.2012.html,,before July 15
19,PYTJZTFTNZI,matlab,agassiz.Vinther.2009,Agassiz,,80.7,-73.1,1730,10.1038/nature08355,10.5194/cp-10-1605-2014,https://www.ncdc.noaa.gov/paleo-search/study/15444,GlacierIce,d18O,glacier ice,,,,d18O,permil,SMOW,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,-26.83801397,positive,0,10000,20,0,,TRUE,DSK,truncated at 10 ka,http://lipdverse.org/globalHolocene/0_27_0/agassiz.Vinther.2009.html,,before July 15
,LPD81e7ab49,matlab,ODP1098B,ODP1098B,,-64.2,-64.86,-1011,,10.1191/095968301673881493,,MarineSediment,TEX86,TEX86,,,,temperature,degC,,T,sea@surface,,,3.042440945,positive,80,11769,71,0,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/ODP1098B.html,,before July 15
481,RHJ0EBiFhDx,PalMod2LiPD,JR244_GC528,JR244_GC528,,-53.01,-58.04,598,10.1073/pnas.1511252113,10.1016/j.epsl.2017.07.004,"https://doi.org/10.1594/PANGAEA.878265,https://doi.org/10.1594/PANGAEA.878266,https://doi.org/10.1594/PANGAEA.856700,https://doi.org/10.1594/PANGAEA.856698",MarineSediment,alkenone,UK37,,,,temperature,degC,abs,T,sea@surface,,,6.966851852,positive,1000,25440,345,0.8181818182,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/JR244_GC528.html,,before July 15
421,GH194ddf83,matlab,HomesteadScarp.McGlone.2010,HomesteadScarp,,-52.5,169.1,,10.1038/ngeo931,,,Peat,pollen,assemblage,,,,temperature,degC,abs,T,air@surface,Summer,summer+,8.864239521,positive,-39,12246.9,52.82,0,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/HomesteadScarp.McGlone.2010.html,,before July 15
805,GH73726cce,matlab,Mount_Honey,Mount Honey,,-52.5,169.1,,10.1038/ngeo931,,,Peat,pollen,assemblage,,,,temperature,degC,abs,T,air@surface,Summer,summer+,8.304358491,positive,-17.917,12563,114.08,0,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/Mount_Honey.html,,before July 15
945,RrJegNZeUh6,holoXL2lipd,PotrokAike.Massaferro.2013,Potrok Aike,,-51.96,-70.38,113,10.1016/j.ecolind.2012.06.017,,,LakeSediment,chironomid,assemblage,"WA-PLS, Argentinean cal database",12 1 2002,,temperature,degC,abs,T,,Summer,summerOnly,11.34616514,positive,73.356,15315.9,101.6,1.173842365,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/PotrokAike.Massaferro.2013.html,,before July 15
740,LPD947a7acd,matlab,MD94-103.Sicre.2005,MD94_103,,-45.583,86.533,-3560,10.1016/j.epsl.2005.09.032,,https://doi.org/10.1016/j.epsl.2005.09.032,MarineSediment,alkenone,UK37,,,,temperature,degC,abs,T,sea@surface,,,10.50241379,positive,5040,50058,227.5,0,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/MD94-103.Sicre.2005.html,,before July 15
754,R9MpbDt6ifY,PalMod2LiPD,MD97_2120,MD97_2120,,-45.5344,174.9308,-1210,10.1029/2005PA001191,10.1126/science.1084451,"ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/m97-2120-tab.txt,https://doi.pangaea.de/10.1594/PANGAEA.208133,https://doi.pangaea.de/10.1594/PANGAEA.208132,pers comm",MarineSediment,alkenone,UK37,,,authors note that the calibration of Sikes might be more appropiate,temperature,degC,abs,T,,,,11.73946154,positive,1951,156360,136,0.5970743358,Temp12k,TRUE,OC,fails age control; accepted to fill large data gap,http://lipdverse.org/globalHolocene/0_27_0/MD97_2120.html,,before July 15
755,RRMhDsIGgt1,PalMod2LiPD,MD97_2120,MD97_2120,,-45.5344,174.9308,-1210,10.1029/2005PA001191,10.1126/science.1084451,"ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/m97-2120-tab.txt,https://doi.pangaea.de/10.1594/PANGAEA.208133,https://doi.pangaea.de/10.1594/PANGAEA.208132,pers comm",MarineSediment,Mg/Ca,G. bulloides,,,,temperature,degC,,T,,,,11.75,positive,Inf,-Inf,,0,Temp12k,TRUE,OC,fails age control; accepted to fill large data gap,http://lipdverse.org/globalHolocene/0_27_0/MD97_2120.html,,before July 15
759,GHf86f4afa,matlab,MD972120,MD97-2120,,-45.5,174.9,,10.1029/2005PA001191,,,MarineSediment,alkenone,UK37,,,,temperature,degC,abs,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,11.73947692,positive,1951,12787,135.71,0,Temp12k,TRUE,OC,truncated duplicate,http://lipdverse.org/globalHolocene/0_27_0/MD972120.html,,before July 15
739,Ri4npkyUs4u,PalMod2LiPD,MD84_527,MD84_527,,-43.8217,51.3183,-3262,10.1029/PA003i003p00361,10.1029/92PA00709,"https://doi.pangaea.de/10.1594/PANGAEA.52302,https://doi.pangaea.de/10.1594/PANGAEA.52483,https://doi.pangaea.de/10.1594/PANGAEA.863097",MarineSediment,diatom,assemblage,,,"Diatom TFT after Imbrie and Kipp, 1971",temperature,degC,abs,T,sea@surface,Summer,summerOnly,6.565517241,positive,1000,143670,330,1.454545455,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/MD84_527.html,,before July 15
1023,GH1e0d8189,matlab,SO136GC11.Barrows.2007,SO136-GC11,,-43.5,167.9,,10.1126/science.1145873,,,MarineSediment,alkenone,UK37,,,,temperature,degC,abs,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,15.85219048,positive,50,13830,280,0,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/SO136GC11.Barrows.2007.html,,before July 15
251,R3Ypu5QP5eP,holoXL2lipd,EagleTarn.Rees.2010,Eagle Tarn,,-42.6799,146.5914,1040,10.1016/j.quascirev.2009.10.003,,,LakeSediment,chironomid,assemblage,"WA-PLS, Tasmanian calibration set",,,temperature,degC,abs,T,sea@surface,warmest quarter yr,summerOnly,8.944704918,positive,29.809,15139.173,156.972,0.6683268462,Temp12k,TRUE,,"Poor GoF to temperature due to abundant poorly modelled, seemingly cold-adapted taxon. Consistent with appearance of other cold taxa, so interpreted as reliable",http://lipdverse.org/globalHolocene/0_27_0/EagleTarn.Rees.2010.html,,before July 15
916,RwUGHZyJRVj,holoXL2lipd,PlatypusTarn.Rees.2010,Platypus Tarn,,-42.6734,146.5868,941,10.1016/j.quascirev.2009.10.003,,,LakeSediment,chironomid,assemblage,"WA-PLS, Tasmanian calibration set",,,temperature,degC,abs,T,sea@surface,warmest quarter yr,summerOnly,9.079297872,positive,31.369,15862.851,224.051,0.5013104673,Temp12k-reconsider,FALSE,RSV,"fails age control, gap > 3000 years",http://lipdverse.org/globalHolocene/0_27_0/PlatypusTarn.Rees.2010.html,,before July 15
1030,GH7a27907e,matlab,South_Island,South Island,,-42,172,,10.1016/j.epsl.2004.10.024,,,Speleothem,d18O,,,,ice vol corrected d18O,d180_corrc,permil,,T,sea@surface,,,-3.380921429,positive,508.015,29876,24.6,0,Temp12k,TRUE,DSK,"Author's say, ""Delta 18O values are interpreted as having a first order positive relationship to temperature, but also to be influenced by precipitation in a complex manner.""",http://lipdverse.org/globalHolocene/0_27_0/South_Island.html,,before July 15
1034,SP10WINZ01A,matlab,SP10WINZ.Williams.2010,SP10WINZ,"South Island Composite Record, New Zealand",-42,172,,10.5038/1827-806X.39.2.5,10.1016/j.epsl.2004.10.024,,Speleothem,d18O,,,,Changes in annual temperature modulated by oceanic circulation and gradients,d18O,permil,,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,-3.225815603,positive,453,29821,25,0,Temp12k,TRUE,,"Evident relationship of speleothem ?18O and temperature, which is generally positive (Williams et al. 2004, 2005, Whittaker 2008). It is probable that significant changes to d18Op would have resulted from perturbations in oceanic and atmospheric circulation patterns that altered the relative mix of vapour from subtropical and sub-Antarctic sources",http://lipdverse.org/globalHolocene/0_27_0/SP10WINZ.Williams.2010.html,,before July 15
312,GH6edd69de,matlab,GeoB33131.Lamy.2002,GeoB3313-1,,-41,-74.3,,10.1029/2001PA000727,,,MarineSediment,alkenone,UK37,,,,temperature,degC,abs,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,15.3816,positive,283.255,6989.938,80.511,0,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/GeoB33131.Lamy.2002.html,,before July 15
760,GHe9ab6408,matlab,MD972121,MD97-2121,,-40.4,178,,10.1029/2005PA001191,,,MarineSediment,alkenone,UK37,,,,temperature,degC,abs,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,17.40034615,positive,3316.25,12464.9,65.95,0,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/MD972121.html,,before July 15
726,RbLKw0ooED9,PalMod2LiPD,MD03_2607,MD03_2607,,-36.9607,137.4065,-865,10.1002/palo.20035,10.1038/ngeo1856,"https://doi.pangaea.de/10.1594/PANGAEA.820841,https://doi.pangaea.de/10.1594/PANGAEA.820842,https://doi.pangaea.de/10.1594/PANGAEA.823119",MarineSediment,foraminifera,assemblage,,,,temperature,degC,abs,T,surface.temp,1 2 3 4 5 6 7 8 9 10 11 12,annual,17.95,positive,1100,135000,400,0.7339449541,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/MD03_2607.html,,before July 15
727,RDNkU451xZP,PalMod2LiPD,MD03_2607,MD03_2607,,-36.9607,137.4065,-865,10.1002/palo.20035,10.1038/ngeo1856,"https://doi.pangaea.de/10.1594/PANGAEA.820841,https://doi.pangaea.de/10.1594/PANGAEA.820842,https://doi.pangaea.de/10.1594/PANGAEA.823119",MarineSediment,LDI,,,,calculated from Rampen et al. (2012),temperature,degC,abs,T,surface.temp,1 2 3 4 5 6 7 8 9 10 11 12,annual,21.975,positive,1100,134800,400,0.7339449541,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/MD03_2607.html,,before July 15
728,RJ64ej30dlD,PalMod2LiPD,MD03_2607,MD03_2607,,-36.9607,137.4065,-865,10.1002/palo.20035,10.1038/ngeo1856,"https://doi.pangaea.de/10.1594/PANGAEA.820841,https://doi.pangaea.de/10.1594/PANGAEA.820842,https://doi.pangaea.de/10.1594/PANGAEA.823119",MarineSediment,TEX86,TEX86,after Kim et al. (2010),,,temperature,degC,abs,T,surface.temp,1 2 3 4 5 6 7 8 9 10 11 12,annual,19.24166667,positive,1100,134800,400,0.7339449541,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/MD03_2607.html,,before July 15
729,RxsPWmbc8Uw,PalMod2LiPD,MD03_2607,MD03_2607,,-36.9607,137.4065,-865,10.1002/palo.20035,10.1038/ngeo1856,"https://doi.pangaea.de/10.1594/PANGAEA.820841,https://doi.pangaea.de/10.1594/PANGAEA.820842,https://doi.pangaea.de/10.1594/PANGAEA.823119",MarineSediment,alkenone,UK37,after Prahl and Wakeham (1987),,,temperature,degC,abs,T,surface.temp,1 2 3 4 5 6 7 8 9 10 11 12,annual,19.0375,,1100,134800,400,0.7339449541,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/MD03_2607.html,,before July 15
374,R8fvn9tLhUo,PalMod2LiPD,H214,H214,,-36.9225,177.4392,-2045,10.1029/2004PA001088,,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/h214-tab.txt,MarineSediment,foraminifera,assemblage,,,,temperature,degC,abs,T,,Summer,summer+,21.22555556,positive,590,16210,670,0.7887817704,Temp12k,TRUE-1,OC,fails resolution; accepted to fill large spatial data gap,http://lipdverse.org/globalHolocene/0_27_0/H214.html,,before July 15
375,Rccbq6oFLDp,PalMod2LiPD,H214,H214,,-36.9225,177.4392,-2045,10.1029/2004PA001088,,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/h214-tab.txt,MarineSediment,foraminifera,assemblage,,,,temperature,degC,abs,T,,winter,winter+,15.85222222,positive,590,16210,670,0.7887817704,Temp12k,TRUE-2,OC,fails resolution; accepted to fill large spatial data gap,http://lipdverse.org/globalHolocene/0_27_0/H214.html,,before July 15
607,ReEnzeIOExA,holoXL2lipd,LakePupuke.Pollen.NewZealand,Lake Pupuke,,-36.7803,174.7662,5,10.1016/j.quascirev.2018.10.008,,,LakeSediment,pollen,assemblage,2 Calibration method,,,temperature,degC,abs,T,,2,summer+,13.49113208,positive,1001,16138,204,0.4545867806,Temp12k-reconsider,FALSE,"BASD, RSV","fails age control, gap >3000 years",http://lipdverse.org/globalHolocene/0_27_0/LakePupuke.Pollen.NewZealand.html,,before July 15
608,RPZj5YKrFr0,holoXL2lipd,LakePupuke.Pollen.NewZealand,Lake Pupuke,,-36.7803,174.7662,5,10.1016/j.quascirev.2018.10.008,,,LakeSediment,pollen,assemblage,Modern analogue technique,,,temperature,degC,abs,T,,1 2 3 4 5 6 7 8 9 10 11 12,annual,14.45018868,positive,1001,16138,204,0.4545867806,Temp12k-reconsider,FALSE,"BASD, RSV","fails age control, gap >3000 years",http://lipdverse.org/globalHolocene/0_27_0/LakePupuke.Pollen.NewZealand.html,,before July 15
609,RpbgDFH9OsU,holoXL2lipd,LakePupuke.VandenBos.2018,Lake Pupuke,,-36.7803,174.7662,5,10.1016/j.quascirev.2018.10.008,,,LakeSediment,chironomid,assemblage,WA-PLS,12 1 2002,,temperature,degC,abs,T,,Summer,summerOnly,15.837,positive,-12,14093,176,0.4162504163,Temp12k-reconsider,FALSE,DSK,"fails age control, gap >3000 years; removed unreliable values",http://lipdverse.org/globalHolocene/0_27_0/LakePupuke.VandenBos.2018.html,,before July 15
730,RMkDAhtAzhz,PalMod2LiPD,MD03_2611,MD03_2611,,-36.7333,136.55,-2420,10.1029/2007GL029937,,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/md3-2611-tab.txt,MarineSediment,alkenone,UK37,,,,temperature,degC,abs,T,,,,18.93822581,positive,684,30601,321,0,Temp12k-reconsider,FALSE,RSV,"fails age control, record too old",http://lipdverse.org/globalHolocene/0_27_0/MD03_2611.html,,before July 15
724,R1wwKn3L3PB,PalMod2LiPD,MD02_2594,MD02_2594,,-34.71,17.338,-2440,10.1029/2009PA001879,,https://doi.pangaea.de/10.1594/PANGAEA.810663,MarineSediment,Mg/Ca,G. bulloides,,,,temperature,degC,abs,T,,,,16.6922,positive,84,87028,287,0.4196038939,Temp12k,TRUE,OC,"fails age control, gap >3000 years",http://lipdverse.org/globalHolocene/0_27_0/MD02_2594.html,,before July 15
317,R88xcOosPd2,PalMod2LiPD,GeoB6211_2,GeoB6211_2,,-32.5052,-50.2427,-657,10.1130/G24979A.1,10.1002/2014PA002677,"https://doi.pangaea.de/10.1594/PANGAEA.711148,https://doi.pangaea.de/10.1594/PANGAEA.841891,https://doi.pangaea.de/10.1594/PANGAEA.824761,https://doi.pangaea.de/10.1594/PANGAEA.847352,https://doi.pangaea.de/10.1594/PANGAEA.804917",MarineSediment,Mg/Ca,G. inflata,,,,temperature,degC,abs,T,,,,10.86,positive,0,18999,100,0.5833333333,Temp12k-reconsider,FALSE,DSK,insuffient resolution/length,http://lipdverse.org/globalHolocene/0_27_0/GeoB6211_2.html,,before July 15
318,RMJe78p5Rbv,PalMod2LiPD,GeoB6211_2,GeoB6211_2,,-32.5052,-50.2427,-657,10.1130/G24979A.1,10.1002/2014PA002677,"https://doi.pangaea.de/10.1594/PANGAEA.711148,https://doi.pangaea.de/10.1594/PANGAEA.841891,https://doi.pangaea.de/10.1594/PANGAEA.824761,https://doi.pangaea.de/10.1594/PANGAEA.847352,https://doi.pangaea.de/10.1594/PANGAEA.804917",MarineSediment,Mg/Ca,G. ruber white,,,,temperature,degC,abs,T,,,,22.88023529,positive,1185,19300,95,0.6472491909,Temp12k-reconsider,FALSE,DSK,insuffient length only 3.7 years during the Holocene,http://lipdverse.org/globalHolocene/0_27_0/GeoB6211_2.html,,before July 15
321,LPDae761fd0xxxx,matlab,GeoB71392.Kaiser.2008,GeoB7139-2,,-30.2,-72,,10.1016/j.quascirev.2008.08.025,,,MarineSediment,alkenone,UK37,,,,temperature,degC,abs,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,18.52818182,positive,1160,14950,540,0,Temp12k-reconsider,TRUE,DSK,fails resolution,http://lipdverse.org/globalHolocene/0_27_0/GeoB71392.Kaiser.2008.html,,before July 15
621,R3CvZBuTHNk,PalMod2LiPD,LaPAS_KF02,LaPAS_KF02,,-25.84,-45.2,-827,10.1016/j.palaeo.2013.01.014,,https://doi.pangaea.de/10.1594/PANGAEA.809921,MarineSediment,foraminifera,assemblage,,,,temperature,degC,abs,T,surface.temp,1 2 3 4 5 6 7 8 9 10 11 12,annual,24.67136842,positive,402,12958,126,0.7759958614,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/LaPAS_KF02.html,,before July 15
862,GHc6db9661,matlab,ODP1084B,ODP1084B,,-25.5,13,,10.1029/2004PA001049,,,MarineSediment,Mg/Ca,,,,,temperature,degC,abs,T,sea@surface,winter,winter+,13.79130435,positive,0,21262,66,0,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/ODP1084B.html,,before July 15
697,WEB3ca1b65e,lipd.net,Mackenzie.Woltering.2014,Lake Mackenzie,,-25.4475,153.0533,90,10.1016/j.yqres.2014.02.005,,,LakeSediment,GDGT,,,,,temperature,degC,abs,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,20.18636364,positive,-48,37261,527,0,Temp12k,TRUE,EKT,fails resolution; accepted to fill large spatial data gap,http://lipdverse.org/globalHolocene/0_27_0/Mackenzie.Woltering.2014.html,,before July 15
