DK's(keep),TSid,createdBy,dataSetName,siteName,countryOcean,lat,lon,elevation,pub1_doi,pub2_doi,originalDataUrl,archiveType,proxy,proxyDetail,calibration_method,calibration_seasonality,paleoDataNotes,variableName,units,datum,climateVariable,climateVariableDetail,seasonality,seasonGeneral,meanHoloceneValue,direction,minYear,maxYear,medianHoloceneResolution,agesPerKyr,inCompilation,useInGlobalHolocene,QC Certification,QC comments,link to lipdverse,Remaining issues,last updated
,RRfNDLWK4uC,holoXL2lipd,Hinterburgsee.Heiri.2004,Hinterburgsee,,46.72,8.07,1515,10.1073/pnas.0406594101,,,LakeSediment,chironomid,,"WA-PLS, Swiss calibration dataset, 2003",,"July air temperature, 2004 record, some potentially biased samples due to dating, youngest section not included",nonReliabletemperature,degC,,T,,7,,11.6725,positive,-29.35,12532.16,154.85,1.496340201,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/Hinterburgsee.Heiri.2004.html,,before July 15
,REcgLUYGNTo,holoXL2lipd,Hinterburgsee.Heiri.2015,Hinterburgsee,,46.72,8.07,1515,10.1177/0959683614556382,,,LakeSediment,chironomid,,,,,uncertainty,,,,,,,12.59801754,,-34.882,12294.259,195.673,1.495652388,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/Hinterburgsee.Heiri.2015.html,,before July 15
,RXFBUNXWZBx,holoXL2lipd,Hinterburgsee.Heiri.2015,Hinterburgsee,,46.72,8.07,1515,10.1177/0959683614556382,,,LakeSediment,chironomid,,,,,uncertainty,,,,,,,9.833035088,,-34.882,12294.259,195.673,1.495652388,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/Hinterburgsee.Heiri.2015.html,,before July 15
,RfLiM41fq96,holoXL2lipd,Hinterburgsee.Heiri.2015,Hinterburgsee,,46.72,8.07,1515,10.1177/0959683614556382,,,LakeSediment,chironomid,,,,,reliable,,,,,,,,,-34.882,12294.259,195.673,1.495652388,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/Hinterburgsee.Heiri.2015.html,,before July 15
,RVvxchpKsq6,holoXL2lipd,Hinterburgsee.Heiri.2015,Hinterburgsee,,46.72,8.07,1515,10.1177/0959683614556382,,,LakeSediment,chironomid,,"WA-PLS, Swiss-Norwegian calibration dataset as described in Heiri et al. 2011",,"July air temperature, 2015 recalibrated record, some potentially biased samples due to human impact and dating",nonReliabletemperature,degC,,T,,7,,,positive,-34.882,12294.259,195.673,1.495652388,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/Hinterburgsee.Heiri.2015.html,,before July 15
,RlpBu6gN5Cq,holoXL2lipd,Hirvijaervi.Luoto.2010,Hirvijaervi,,60.51,25.23,104,10.1002/jqs.1417,,,LakeSediment,chironomid,,,,,uncertainty,,,,,,,15.98936364,,0,11500,223.3,0.4347826087,,FALSE,SE,,http://lipdverse.org/globalHolocene/0_27_0/Hirvijaervi.Luoto.2010.html,,before July 15
,RnHu99783c4,holoXL2lipd,Hirvijaervi.Luoto.2010,Hirvijaervi,,60.51,25.23,104,10.1002/jqs.1417,,,LakeSediment,chironomid,,,,,uncertainty,,,,,,,14.54736364,,0,11500,223.3,0.4347826087,,FALSE,SE,,http://lipdverse.org/globalHolocene/0_27_0/Hirvijaervi.Luoto.2010.html,,before July 15
,RezEm9BWBGF,holoXL2lipd,Hirvijaervi.Luoto.2010,Hirvijaervi,,60.51,25.23,104,10.1002/jqs.1417,,,LakeSediment,chironomid,,,,,reliable,,,,,,,,,0,11500,223.3,0.4347826087,,FALSE,SE,,http://lipdverse.org/globalHolocene/0_27_0/Hirvijaervi.Luoto.2010.html,,before July 15
,WEB505c7575,lipd.net,HjortSo.Wagner.2008,Hjort So,,76.4331,-18.7614,114,10.1007/s10933-007-9120-3,,,LakeSediment,TOC,,,,,TOC,percent,,,,,,2.180793651,,371,10009,189,0,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/HjortSo.Wagner.2008.html,,before July 15
,WEBa759aac1,lipd.net,HjortSo.Wagner.2008,Hjort So,,76.4331,-18.7614,114,10.1007/s10933-007-9120-3,,,LakeSediment,TN,,,,,TN,percent,,,,,,0.2184126984,,371,10009,189,0,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/HjortSo.Wagner.2008.html,,before July 15
