qcSheetName,tsName,type
pub2_citation,pub2_citation,character
pub2_citeKey,pub2_citeKey,character
pub2_doi,pub2_doi,character
pub2_year,pub2_year,numeric
pub3_authors,pub3_author,author
pub3_citation,pub3_citation,character
pub3_citeKey,pub3_citeKey,character
pub3_doi,pub3_doi,character
pub3_year,pub3_year,numeric
coralHydro2kGroup,paleoData_coralHydro2kGroup,numeric
secondarySiteName,geo_secondarySiteName,character
ocean,geo_ocean,character
ocean2,geo_ocean2,character
monsoonRegion,geo_monsoonRegion,character
nominalResolution,hasResolution_nominal,character
hasUncertainty,paleoData_hasUncertainty,character
isComposite,paleoData_isComposite,character
coreName,paleoData_coreName,character
additionalDataUrl,additionalDataUrl,character
